strain	sample	host	genotype	date	country	state
1302_1	Feces	Domestic_cat	FCoV1	2024	USA	FL
1304_1	Feces	Domestic_cat	FCoV1	2024	USA	FL
1305_1	Feces	Domestic_cat	FCoV1	2024	USA	FL
1308_1	Feces	Domestic_cat	FCoV1	2024	USA	FL
1326_1	Feces	Domestic_cat	FCoV1	2024	USA	FL
1327_2	Feces	Domestic_cat	FCoV1	2024	USA	FL
CSU7_GI	GI_loop	Domestic_cat	FCoV1	2023	USA	WY
CSU7_Sp	Spleen	Domestic_cat	FCoV1	2023	USA	WY
CSU7_kid	Kidney	Domestic_cat	FCoV1	2023	USA	WY
CSU7_MLN	Mesenteric_lymph_node	Domestic_cat	FCoV1	2023	USA	WY
CSU5_as	Ascites	Domestic_cat	FCoV1	2023	USA	WY
CSU11_PF	Pleural_fluid	Domestic_cat	FCoV1	2023	USA	WY
CSU12_PF	Pleural_fluid	Domestic_cat	FCoV1	2023	USA	WY
CSU12_WB	Whole_blood	Domestic_cat	FCoV1	2023	USA	WY
FCoV1_FM3	Kidney	Sand_cat	FCoV1	2020	USA	OH
FCoV1_OM1164	Lung	Pallas_cat	FCoV1	2008	USA	OH
FCoV1_DCB091	Mesenteric_lymph_node	Domestic_cat	FCoV1	2008	USA	OH
FCoV1_RM	Unknown	Domestic_cat	FCoV1	2002	USA	CA
FCoV1_UU2	Unknown	Domestic_cat	FCoV1	1993	USA	CA
FCoV2_WSU79_1683	Mesenteric_lymph_node_intestine	Domestic_cat	FCoV2	1979	USA	XX
FCoV2_79_1146	Lung_liver_spleen	Domestic_cat	FCoV2	1979	USA	XX
FCoV2_597	Multiple	Domestic_cat	FCoV2	2013	USA	PA
FCoV2_346	Multiple	Domestic_cat	FCoV2	2013	USA	AR
FCoV2_344	Multiple	Domestic_cat	FCoV2	2013	USA	AR
FCoV1_344_6	Feces	Domestic_cat	FCoV1	2013	USA	AR
