strain	host	type	country	date
FCoV1_CSU5_Ascites_WY_USA_2023	Domestic_cat	GSC	USA	2023
FCoV1_CSU11_Pleural_fluid_WY_USA_2023	Domestic_cat	GSC	USA	2023
FCoV1_CSU12_whole_blood_WY_USA_2023	Domestic_cat	GSC	USA	2023
FCoV1_CSU12_pleural_fluid_WY_USA_2023	Domestic_cat	GSC	USA	2023
FCoV1_CSU7_kidney_WY_USA_2023	Domestic_cat	GSC	USA	2023
FCoV1_CSU7_GI_loop_WY_USA_2023	Domestic_cat	GSC	USA	2023
FCoV1_CSU7_lymph_node_WY_USA_2023	Domestic_cat	GSC	USA	2023
FCoV1_CSU7_Spleen_WY_USA_2023	Domestic_cat	GSC	USA	2023
FCoV1_1302_1_FL_USA_2024	Domestic_cat	GSC	USA	2024
FCoV1_1304_1_FL_USA_2024	Domestic_cat	GSC	USA	2024
FCoV1_1320_2_FL_USA_2024	Domestic_cat	GSC	USA	2024
FCoV1_1306_1_FL_USA_2024	Domestic_cat	GSC	USA	2024
FCoV1_1308_1_FL_USA_2024	Domestic_cat	GSC	USA	2024
FCoV1_1308_3_FL_USA_2024	Domestic_cat	GSC	USA	2024
FCoV1_1305_1_FL_USA_2024	Domestic_cat	GSC	USA	2024
FCoV1_1326_1_FL_USA_2024	Domestic_cat	GSC	USA	2024
FCoV1_2601_M54_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2610_M27_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2610_M22_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2564_M5MF_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2598_M18_2_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2599_M12_2_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2357_M25MF_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2396_M16MF_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2610_M20_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2598_M42_MED_COL	Domestic_cat	GSC	Colombia	2020
